raw_tweet,sentiment
@AriefSyuhada_ @AriJancuk_ @idextratime @jefrinichol Eusebio jangan lupa. Letingan nya Sir Bobby Charlton jaman Pildun 1966,0
Siap salah kak  hypenya pas pildun doang emang. Ntar aff juga hypenya pas aff doang  Siap salah kok🤩 Biar si paling suhu bola seneng ygy,-1
@convomf perdebatan kaka adik krn beda dukungan pildun 😭☝️  https://t.co/XpAs2hs2By,-1
"@_eIpatron @intermilanstory @registaco apa yang mau diharapkan dari kaum 1908blok? 🤷‍♂  Iyain aja udah, soalnya pemain mereka beban semua di Pildun. Yang ini buat ngehibur diri aja, kesian.",-1
Kiper terbaik sepanjang pildun,1
@idextratime udah seneng menang taruhan pildun eh malah diingetin kekalahan klub kesayangan😭,-1
"Tapi sedih juga, tahun ini ayah ga sesehat pildun sebelum-sebelumnya, tp senang juga udh jadi onty dengan 3 ponakan. Menurut gua ini mirip-mirip tahun 2010 ya ramenya, apalagi Messi, Ronaldo tahun terakhir main",-1
@SamFerkyFers10 @Lustinlife2 @YonoBakrie iya iya bang lu udah tua udah lihat prancis juara pildun dua kali saking terbiasanya prancis menang pildun selanjutnya pun paling lu mending tidur ga perlu nonton karna udah saking TERBIASA hmm,-1
@danidanii55 @idextratime apakah momen setelah pildun 2002 terulang kembali?😂,0
"@alahsokap tetap mahal, karena kulit ayamnya di impor langsung dari prancis, karena kemarin baru ada pildun dan prancis kalah jadinya harga naik karena pemerintah kecewa",-1
"Pildun tlah selesai, sekarang waktunya berpikir gmana caranya menghentikan dia ini. 🤣🤣🤣",-1
"@idextratime Pdhl rakyat Argentina dah doain mereka kalah loh, inflasi tinggi (72%) ketutup menang pildun",-1
kykny emg bliau lgi sibuk kuliah sampe ga ikutan nonton pildun kan kemaren? smngt kuliahnya papa ddongsik😔💖  https://t.co/xk025suYJa,-1
"Kalo yg nanyangin pildun kmrn rcti, bisa jadi ada neh gimmick kek gini. Pake Master Joe Sandy   https://t.co/CJy0twivwI",-1
@garistengah_id Ronaldo Nazario de Lima. Diboyong Madrid dari Inter setelah moncer dengan 8 gol di Pildun 2002. Menjelma sbg roh Los Galacticos yg menjuarai la liga sama intercontinental,1
"@rrraaihan Mbappe gendong satu negara wkwk mainnya beringas bener, agak sakit liat ujung²ny kalah jg, lebih sakit lagi liat govt argentina lebih sibuk ngurusin pildun pdhl negaranya hampir hiperinflasi.",-1
"Ini final Pildun apa perlu semacam ""True Sight"" ya",-1
"@SeputarMadrid @Romain_Molina timnas prancis ini punya track record buruk utk soal hub ruang ganti pemain.ingat pildun 2010 ketika prancis dilatih domenech dmn ruang ganti kacau balau gara2 pelatih &amp; pemain konflik.klo mau adem bujuk zidane latih prancis,dia spesialis nurunin ego2 pemain bsr",-1
Closingan sebelum pildun  https://t.co/Oal8HkjWt1,0
@vocketfc Ko balik jdi 23 pemain lgi? Pildun aja ttep 26 pemain. Why??,-1
"@ibnuachmad55 @SiaranBolaLive @433 Ini dimulai dari perhitungannya dari beberapa tahun ke belakang, bukan dari ngandelin pas PilDun doang..",0
aaaaa sepi bngtt. ngerasa sepi pas pildun kelarrr😭😭 pdhl ngalihin kabar jin wamil karna pildun... tp udh selesaiii😭😭😭,1
"@xxiv101 @taurunians @purwoputraa panjang cing, intinye die nonton bola udeh lama terus temen temennye yang nonton bola pas pildun hype dikasih tau mane aje pemain bola yang ganteng",1
solusi instan biar ga ot nonton siaran ulang final pildun,0
"Trauma w nge rt2, inget banget lg nge rt sambil nnton pildun tiba2 akun keluar sendiri wkwk",-1
@iciocaica @SiaranBolaLive loh blm tdr? kan udah gada pildun,0
Masih menunggu hari libur nasional indonesia karna indo juara pildun.,-1
Semenjak pildun kerjaanku begadang aja lah  Gatau besok aktifitas padat🥲,-1
"@huum_7 @PorosHalangID Ada, debatin goat di Instagram selama pildun wkwk aguerokuntul semenjak jadi pengangguran, kan jadi keyboard warrior dia 🤣",0
@gooddayfresh_ Soale pildun nya udahan?,0
"Kalau gelar tim itu gak bisa jadi tolak ukur, messi bisa dapet pildun karena 10 pemainnya mendukung, coba 2014??  Coba Mbape solo rank??? Ronaldo Cuma main babak kedua??",0
Kocak sih ini @tokopedia pasang foto @CoachJustinL karena kalah taroan pemenang pildun 🤣🤣🤣  https://t.co/eRe3PjDan2,0
Chelsea menang 5-1 atas Brentford di laga persahabatan tertutup. Pemain yang berlaga di Pildun dan akademi terlibat. Havertz kabarnya mencetak hat-trick. #CFC,1
"@ID_Albiceleste @TyCSports Finally, gua aja sampe sekarang masih ikut seneng apalagi mreka yg negaranya sendiri. Prasaan beberapa hari kemarin masih pantengin latihan argentina di yutub selama pildun,skrg hilang, world cup terbaik,gracias",1
@weaupon AAMIIN YAALLAH WE JANGAN2 2026 KITA NONTON PILDUN SECARA LANGSUNG??😭😭🙏🏻🙏🏻🙏🏻 manifesting,1
"pildun udah kelar, apa lagi yaa",0
"The best final world cup, Qatar 2022. The best euforia world cup, South Africa 2010.  Merch pildun di minimarket ges siga marjan jeng kurma dibulan puasa, rea!  https://t.co/usWrr0lFdL",1
@idextratime masih belom bs move on dari pildun :(,0
#PersijaDay Mbappe Japota Ditto Parfum tahan lama Di 2023 Prancis #iKON Bobo chanyeol pildun Vanilla Rudy Train Messi Beef Aries #CekTokoSebelah2 Time After Time Avatar TWICE 2ND ENGLISH SINGLE Murah Skincare Bodycare Bodymist Rekomendasi murmer wanginya nyebar,0
"🤘🏻 Semenjak isu lgbtqi naik daun kemaren pas pildun, kakak sama bapakku jd sering bahas² lgbtqi Langsung speechless kalo denger, gaberani dan gabisa berkata² :(",-1
"@taurunians ancen seng modelan ngunu iku gateli mbak nji, aku ket seneng pildun grgr neymar ae di bacoti cok jarene sok ngerti pildun",-1
/wal info nobar pildun,1
"@narakaeya Negara yang lagi tanding di pildun, masa lu ga tau",-1
@iqigeor @expleaseshit tapi emang kalo misalkan ada orang ngikutin pildun doang salah ato kenapa2 gttt?,-1
"@garistengah_id opsinya permanenin anelka atau beli el hadji diouf, dan liverpool membuat keputusan salah.  salif diao juga dibeli abis pildun 2002 dan flop juga",-1
"@indosupporter kalau tdk berbenah, ini Kamboja bisa lebih duluan masuk pildun dibanding indo",0
Milih Krosia dendam brazil usir ucing ✅ Milih Maroko Karna salut ✅ Milih prancis Karna Mbappe ✅  Asli  ❤ Kenangan pildun 2022,1
Efek begadang 3 hari gegara pildun 😵‍💫,-1
"Belum move on sama pildun nih, biasanya pulang kerja langsung idupin tipi sampe subuh ngemilin yang ada didapur sampe ngantuk,",1
Tau gavi dari fyp ig reels tanpa nonton pildun krn emg gntenk🤪,1
gada pildun jadi hampa,-1
"@Bell_Cranel1998 @itsnuggtz @ThalibIzzie @Harryman06 @FaktaSepakbola Gue kasih tau fakta aja, dia malah ngak starts tapi fansnya heboh sendiri padahal mereka aja ngeroast messi saat kalah di laga awal pildun tuh",-1
"@TemenyaTsubasa @GodBless_08 @PantauManCity Bisa""nya event sekelas pildun, tim"" yg bermain bisa masukin staff dadakan 🤣",-1
Ga ada pildun gabut ya ga ada tontonan,-1
@codename_andre @PorosHalangID Di pildun ini emang ga punya kontribusi,-1
"udah kesepian, ditambah pildun udh selesai hadeh",-1
"@JohnRugebregt5 @garistengah_id Pas masih bocil bgt ini, 18 tahun ikut pildun tp ya gitulah mu suka fomo kalau beli pemain makanya flop semua🤣",-1
"@JohnSnowFor2019 @aunrrahman Setelah pildun 2006  Skuad argentina selalu lbh baik, pengecualian pildun 2022  Knp org ngedebat ? Karna salah pemahaman Dikira gw compare skuad portugal sama norway",0
"@lihinshoo @idextratime Ga bela lautaro mainnya gabagus tpi dia sendiri ngakuin kalo dia buruk di pildun thn ini. Klo euforia kemenangan ya wajar2 aja,.",-1
@ThalibIzzie @Harryman06 @FaktaSepakbola Kenapa dikasih fakta emang dia ngak main difinal kok bukan ngak main di seluruh match pildun makanya baca yang bener mas situ harus pake kacamata harusnya,-1
gw ngetwit Messi aja kmrn pas final pildun doang? ☠️  https://t.co/c3XKyrsY9l,-1
@realmadridindo1 @aguerosergiokun Kasihan ini adminnya agak stress demit gblo** tlol ucl disamain pildun wkwk,-1
kurang seru apa coba final pildun 2022 ini,1
@GIBOLofficial Yang kmren abs nonton pildun trs skrng dsuruh nonton liga lawak pasti maless 😁😂.. skip aja buat hal2 lain yang lbih berguna,-1
@idextratime Gua malah bosen cuk tiap malem nungguin Pildun tapi sekarang udah gada,-1
@gibran_tweet Walah tiwas wingi tuku ...kok yo mbagine bar PilDun to bro,-1
"@garistengah_id Ozil &amp; Khedira pas datang ke Real Madrid setelah pildun 2010, terus ada Toni Kroos yg didatengin Real Madrid setelah pildun 2014",0
@moccaslime ke qatar nonton pildun,1
@sbtcon itu sellernya abis menang taruhan pildun keknya nder,1
@GOAL_ID Next pildun pas peaknya mbappe harusnya,1
sebelum huru hara pildun kemaren wkwkwkw  https://t.co/2m2dwI9E8S,0
@idextratime enak banget jadi fans messi klo debat tinggal bilang minimal 7 balon dor minimal pildun minimal jadi pemain terbaik piala dunia haha,1
11 12 ama yg bilang cewe suka bola karena pildun doang,-1
@novaldulu @doublesierra25 @weebsminority_ @Yos79606745 @PorosHalangID @aguerosergiokun ni org main di kualifikasi pildun paling ngga  https://t.co/ELzGPBUhju,0
"@sogoodbyeybr @idextratime Fans Circustiano RUNaldut yg dr awal pildun jadi suporter dadakan mexico, poland, australia, belanda, croatia, prancis sampai telor dapet apaan???",-1
"Hari ini berita-beritanya seputar masa depan Conte. Sejujurnya agak sedikit depressing bacanya. Masih kebawa euforia bahagia pildun, jd blm mood sharing ulang berita2 Conte ini",-1
@idextratime Negara Kita kok ga pernah di ajak pildun?,-1
@Box2BoxBola Perlu disimpan data ini utk bahan tebak tebakan pildun berikutnya,0
uang bonus pildun cairrr,1
"@howlisheet cuma mau ngingetin kalo prancis kalah di final pildun, siapa tau lupa🤡",-1
@Davidzioso @rifftyaditya @katasizarwo @psychicmew2 @SerieA_Lawas Yang lolosin GOAL paling banyak Argentina ke Qatar siapa? Emang Tonali bikin gagal ke pildun. Yang menang adu pinalti 8 besar  lawan Belanda siapa? Yang create GOAL ke 3 Argentina siapa?,1
@idextratime Setiap Liat foto messi angkat tropy pildun sllu aja ke ingat sama yg ter siu siu,1
pildun kok udah selesai aja,0
@convomf tergemoy spanjang pildun,1
"tbh kl gk gara2 ozil gk bakal nonton pildun 2010, krn w kepo setengah gila sm ozil akhirnya keterusan nonton pildun n euro. emg sengaja gk ngikutin club krn asli kebanyakan bingung sendiri😭 tp skrng mo ngikutin barca krn mau liat gavi lbh lama, bahkan w pgn beli jersey ori😭🙏🏻",1
Viral Nobar Pildun Berujung MESUM😱  Cek juga kumpulan bokp Viral Terbaru @KUMPULANSEXIND2  bokep indo viral terbaru Vidio Indonesia colmek #SANGE_AAAAAAAAAAH #terlanjurcinta #gaduasange Link Full Vidio ada di profil bio:🤤  https://t.co/BQGRrznqNQ,0
genuinely wondering gimana ya berhasil rasanya nyetak gol di pildun,0
"Kamari pas pildun nu judi loba nu ngaromongken parlay, full senyum all in argen, pas di tanya maen naon? ft ht atawa maen voor? Emng ods na baraha?  🗣teuing atuh  🗣😑",-1
@DanielPither @skakavvs @lio_mamet @idextratime Penaldo mampu nyusul pildun engga? 😋,-1
"@weaupon pildun 2026 nnt misuh2 lg ya, nnt kita misuh2in cara mainnya dybala, alvarez, molina, paredes, de paul, dkk😊",-1
Viral Nobar Pildun Berujung MESUM😱  Cek juga kumpulan bokp Viral Terbaru @KUMPULANSEXIND2  bokep indo viral terbaru Vidio Indonesia colmek #SANGE_AAAAAAAAAAH #terlanjurcinta #gaduasange Link Full Vidio ada di profil bio:🤤  https://t.co/xRUfhWjZU8,0
ki gagamaru nak maen ning pildun iso intok golden glove cokk,-1
"Untuk gw orang Sumatra first time beli jajanan Jawa mas nya nanya pake bumbu apa mbak dan gw jawab 'pake saos aja mas' mas nya jawab 'gk ada mbak bumbu nya bubuk pedas manis, balado, dll' malu banget njir norak banget😭😭😭",0
"kenapa ya org mikirnya cewe yg suka bola itu cuma caper?:( emg caper ke siapa? kalo caper aku ngga bakalan sampe nangis pas messi menang pildun kemaren,  udah dari kelas 7 tauk aku ngikutin bola, tu tahan ya aku caper selama 12 tahun:')",-1
"Dari kemaren nontonin pildun, terus hari ini liat cuplikan aff, kerasa banget ketimpangannya",-1
"it supposed to be him (julian alvarez) padahal dia ngasih 1 gol solo dgn sempurna dan 1 lg dr assist messi, tp waktu match sm croatia… malah messi yg jd player of the match. bukan gmn2 but he deserves it harusnya, dia jg keren bgt di pildun pertamanya ini pdhal baru 22 tahun  https://t.co/vWgAEIcrmf",-1
"@noturbabesss @rassaaa7 @danang3pamungka @idextratime Kurang tau, info yang kudapat hilang 13 tahun sstelah brazil juara pildun ketiga kalinya, semenjak taun 2006 udah dikasih piala replika walao dah juara 3x pildun",-1
DAH LAH KALAU PANJANG UMUR DITAHUN 2026 SAAT PILDUN GW DUKUNG JERMAN ATAU ITALIA AJA,1
DAH LAH KALAU PANJANG UMUR DIRAHUN 2026 SAAT PILDUN GW DUKUNG JERMAN ATAU ITALIA AJA,1
